,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
153,153,NA1_4135503271,25,50,59,78868,90459,211,211,54667,2,1,2,1,1,0,0,LOSS
155,155,NA1_4134140614,44,54,98,125856,146705,272,272,69567,0,3,2,0,2,1,0,LOSS
157,157,NA1_4134058237,38,54,77,88361,111058,158.4,158.4,55847,0,0,3,2,2,0,0,LOSS
159,159,NA1_4132956286,36,51,94,92339,126592,343.8,343.8,58563,3,2,1,2,1,0,0,LOSS
161,161,NA1_4132961084,60,78,113,201970,224777,254.2,254.2,84564,3,3,2,0,1,1,0,LOSS
163,163,NA1_4132784178,46,51,89,94821,129151,206.4,206.4,69205,0,2,1,2,1,1,0,LOSS
165,165,NA1_4131793422,72,74,142,188162,204088,291.8,291.8,88841,3,1,3,2,0,0,0,LOSS
167,167,NA1_4131769679,15,38,43,52215,74064,203.2,203.2,41062,2,3,0,1,1,1,0,LOSS
169,169,NA1_4131738710,33,39,87,111981,109057,229.2,229.2,58927,1,2,2,0,0,2,0,LOSS
171,171,NA1_4131374092,29,48,67,71200,113474,174.6,174.6,52605,1,2,1,1,0,2,0,LOSS
173,173,NA1_4130294179,34,45,70,96920,96552,309,309,60415,3,0,4,0,0,1,0,LOSS
175,175,NA1_4128357038,13,25,23,22094,39570,241.6,241.6,32361,1,0,2,2,3,1,0,LOSS
177,177,NA1_4128362261,27,39,69,79720,77209,284.4,284.4,43043,3,2,1,2,0,1,0,LOSS
179,179,NA1_4127917149,58,60,123,160466,156539,149,149,73257,1,1,4,1,1,1,0,LOSS
181,181,NA1_4127943080,25,38,64,60108,84807,278,278,49589,1,2,1,2,2,1,0,LOSS
183,183,NA1_4126814552,30,38,56,76817,75085,254.2,254.2,51423,0,0,3,2,2,1,0,LOSS
185,185,NA1_4126769289,41,46,97,115449,131622,190,190,68275,1,2,3,0,1,2,0,LOSS
187,187,NA1_4125872733,40,57,101,108350,136798,284.8,284.8,68946,1,2,2,1,2,1,0,LOSS
189,189,NA1_4125859056,40,40,102,97538,92866,320.8,320.8,58176,0,2,2,1,3,2,0,LOSS
191,191,NA1_4125845967,50,78,109,150609,196168,237.4,237.4,88421,3,3,1,1,0,2,0,LOSS
193,193,NA1_4125843254,42,53,83,125320,128889,338.8,338.8,66118,3,3,0,1,0,2,0,LOSS
195,195,NA1_4124223596,52,76,110,129311,184617,174.8,174.8,83918,3,2,1,2,1,0,0,LOSS
197,1,NA1_4170259244,62,67,139,134072,165349,226,226,71605,1,1,2,1,1,2,0,LOSS
199,3,NA1_4166413039,29,55,58,75932,102487,267.6,267.6,52017,2,3,1,0,1,2,0,LOSS
201,5,NA1_4166410915,22,26,50,39779,44549,267.6,267.6,35048,2,1,1,3,1,0,0,LOSS
203,7,NA1_4165107733,59,86,100,160823,199265,223.6,223.6,75556,3,2,3,0,0,1,0,LOSS
205,9,NA1_4164498027,40,62,104,90044,145879,215.2,215.2,53747,2,1,3,1,1,1,0,LOSS
207,11,NA1_4163581567,58,64,141,200444,148468,236.6,236.6,78221,1,2,1,1,0,2,0,LOSS
209,13,NA1_4162741558,52,65,101,112727,141825,265.4,265.4,66752,1,1,2,2,1,0,0,LOSS
211,15,NA1_4161207302,36,57,70,79169,94958,302.4,302.4,50167,1,2,2,1,0,2,0,LOSS
213,17,NA1_4161209736,91,86,218,248741,252068,253.8,253.8,99597,1,1,3,1,2,1,0,LOSS
215,1,NA1_4168554716,52,55,98,121403,137097,438,438,69997,0,2,4,0,2,1,0,LOSS
217,3,NA1_4168284798,36,42,101,70385,84289,277.6,277.6,54540,1,2,1,3,1,0,0,LOSS
219,5,NA1_4168261804,33,50,78,87903,114786,411.8,411.8,53812,1,4,1,0,2,1,0,LOSS
221,7,NA1_4167707851,36,38,104,96893,107782,306,306,66056,1,1,2,2,1,1,0,LOSS
223,9,NA1_4167726479,17,33,50,34315,58158,255.6,255.6,36777,1,2,2,1,1,1,0,LOSS
