,Unnamed: 0,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,average levels,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?,win/loss cat
114,114,NA1_4152381074,57,54,96,131151,136378,203.4,203.4,70791,0,2,1,3,0,1,1,WIN
116,116,NA1_4151296059,56,53,148,127787,138543,289,289,71036,1,2,1,2,0,2,1,WIN
118,118,NA1_4141369519,80,58,167,249832,172801,267.6,267.6,98750,3,1,3,2,0,0,1,WIN
120,120,NA1_4141363627,65,62,121,165242,196518,215.8,215.8,87802,3,1,3,0,1,1,1,WIN
122,122,NA1_4139998389,58,39,115,128471,96051,176.2,176.2,68120,1,1,3,2,1,0,1,WIN
124,124,NA1_4140032784,65,52,171,153383,132349,410,410,68797,2,0,3,1,1,0,1,WIN
126,126,NA1_4139965605,48,41,111,132667,115099,317.6,317.6,77754,1,1,2,1,2,1,1,WIN
128,128,NA1_4139622146,53,53,90,115430,125688,239.6,239.6,75364,2,1,1,1,1,1,1,WIN
130,130,NA1_4139049884,41,48,93,121938,124086,276,276,74480,2,2,1,1,2,1,1,WIN
132,132,NA1_4139025256,59,43,120,110758,119086,178,178,66605,2,3,2,1,0,1,1,WIN
134,134,NA1_4139011663,34,33,105,96055,83004,297,297,55741,1,1,2,2,2,2,1,WIN
136,136,NA1_4138957282,54,48,126,132705,139750,172.6,172.6,69900,2,2,2,2,0,2,1,WIN
138,138,NA1_4138932866,50,51,117,141502,160602,174.2,174.2,70961,3,1,4,0,2,0,1,WIN
140,140,NA1_4138868355,54,49,121,116951,134396,238.8,238.8,73359,1,2,2,2,1,1,1,WIN
142,142,NA1_4138782275,57,43,115,241351,156016,180.4,180.4,97530,2,1,3,3,0,0,1,WIN
144,144,NA1_4136356846,35,26,106,93804,95435,263.8,263.8,55534,0,2,0,2,2,2,1,WIN
146,146,NA1_4136165299,42,36,125,82794,86617,220,220,56207,1,2,2,1,1,2,1,WIN
148,148,NA1_4136141711,49,54,103,136803,122977,225,225,71268,2,3,2,0,0,1,1,WIN
150,150,NA1_4135456843,35,29,91,91623,118051,226.2,226.2,56177,0,2,2,1,1,2,1,WIN
152,152,NA1_4135503271,50,25,119,83189,84479,218.4,218.4,62369,2,2,3,1,1,1,1,WIN
154,154,NA1_4134140614,54,44,111,137321,138050,268,268,76448,2,2,2,2,1,0,1,WIN
156,156,NA1_4134058237,54,38,142,105899,93163,269,269,62887,1,0,4,2,2,0,1,WIN
158,158,NA1_4132956286,51,36,124,116902,99227,278.6,278.6,63264,1,1,3,1,1,0,1,WIN
160,160,NA1_4132961084,78,60,204,202667,214811,355.8,355.8,90036,2,2,3,1,1,0,1,WIN
162,162,NA1_4132784178,51,46,113,120505,104004,227.4,227.4,69203,0,2,1,3,1,1,1,WIN
164,164,NA1_4131793422,73,72,147,195284,201661,261,261,89843,2,1,4,0,1,0,1,WIN
166,166,NA1_4131769679,38,15,107,68744,55796,209.6,209.6,49995,0,1,3,1,2,1,1,WIN
168,168,NA1_4131738710,39,33,101,105185,119801,169,169,64481,1,4,0,1,0,1,1,WIN
170,170,NA1_4131374092,48,29,132,104735,78293,194,194,60275,0,2,2,1,2,0,1,WIN
172,172,NA1_4130294179,45,34,119,91270,112981,235.8,235.8,65244,0,2,2,2,1,2,1,WIN
174,174,NA1_4128357038,25,13,52,37490,26654,178.6,178.6,36281,3,0,3,1,0,0,1,WIN
176,176,NA1_4128362261,39,28,80,71029,87233,256.8,256.8,49737,2,4,2,1,0,1,1,WIN
178,178,NA1_4127917149,60,58,124,150324,176870,192.6,192.6,75624,1,1,2,1,2,1,1,WIN
180,180,NA1_4127943080,37,25,121,81000,72011,307.4,307.4,55957,0,2,2,2,2,0,1,WIN
182,182,NA1_4126814552,38,30,83,72248,83275,203.6,203.6,55919,0,0,2,3,1,1,1,WIN
184,184,NA1_4126769289,46,41,104,122743,121223,329.2,329.2,71707,1,1,2,2,3,0,1,WIN
186,186,NA1_4125872733,57,41,135,131735,121465,248.4,248.4,75049,3,2,2,1,1,0,1,WIN
188,188,NA1_4125859056,40,40,84,87943,106751,249.4,249.4,59508,2,4,2,1,0,1,1,WIN
190,190,NA1_4125845967,78,50,168,190098,167658,393,393,100196,2,2,1,1,2,2,1,WIN
192,192,NA1_4125843254,53,42,132,114354,129784,149.8,149.8,70709,1,1,3,2,1,1,1,WIN
194,194,NA1_4124223596,76,52,134,174316,143484,152.4,152.4,87677,1,2,2,1,1,1,1,WIN
196,0,NA1_4170259244,67,62,120,159705,154051,228.2,228.2,74952,3,3,2,0,1,0,1,WIN
198,2,NA1_4166413039,55,29,153,93581,81268,376,376,61038,0,1,3,1,2,0,1,WIN
