,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Time CC'ed,Total Gold Earned,First Blood Turret,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
117,3633575010L,32,44,71,266143,115559,178,52734,0,1,2,2,1,1,2,LOSS
118,3633575010W,26,19,60,223110,68216,97,52072,1,1,2,3,1,1,1,WIN
119,3633575010L,17,26,40,162839,75297,79,46710,0,2,2,2,0,1,2,LOSS
120,3633575010W,50,41,122,253787,95711,150,60230,0,1,2,3,1,0,1,WIN
121,3633575010L,41,50,85,271888,114641,82,57950,1,3,3,1,1,0,0,LOSS
122,3633575010W,44,29,108,261120,93000,212,61262,1,1,1,3,1,3,1,WIN
123,3633575010L,28,44,46,258659,103815,116,52984,0,1,2,2,0,1,1,LOSS
124,3633575010W,49,38,125,219097,74779,112,53910,1,3,1,3,2,1,0,WIN
125,3633575010L,38,49,74,176411,101715,60,47519,0,3,3,1,1,1,0,LOSS
126,3633575010W,68,58,140,421491,200062,252,82197,0,1,2,2,1,1,2,WIN
127,3633575010L,58,68,139,547731,164994,179,78096,0,1,0,3,2,1,0,LOSS
128,3633575010W,61,53,160,597834,189708,357,89434,1,2,1,3,1,1,1,WIN
129,3633575010L,53,61,107,578877,216873,226,84656,0,0,1,3,2,2,2,LOSS
130,3633575010W,65,66,155,436677,180732,169,79363,1,1,0,4,1,1,0,WIN
131,3633575010L,66,65,119,484280,173405,94,78799,0,3,2,2,0,0,0,LOSS
132,3633575010W,28,24,71,159327,55524,140,45863,0,0,1,3,3,1,1,WIN
133,3633575010L,24,28,69,162882,65202,54,43123,1,0,1,1,3,2,1,LOSS
134,3633575010W,39,47,89,215333,116069,149,54893,0,1,2,1,2,0,2,WIN
135,3633575010L,47,39,104,249445,90229,91,54271,1,2,1,1,3,1,0,LOSS
136,3633575010W,42,38,89,284770,147312,146,64908,0,1,4,1,1,1,1,WIN
137,3633575010L,38,43,107,294428,106655,311,59205,1,0,0,4,0,4,1,LOSS
138,3633575010W,36,23,80,204622,62854,143,48016,1,0,1,2,3,2,2,WIN
139,3633575010L,23,36,55,177073,72965,119,45591,0,1,0,3,1,2,0,LOSS
140,3633575010W,44,38,103,320251,120481,209,63286,0,1,2,2,0,1,2,WIN
141,3633575010L,38,44,98,282336,118680,181,59767,0,2,2,3,1,0,2,LOSS
142,3633575010W,54,43,151,304806,143004,209,64374,1,1,3,2,1,0,2,WIN
143,3633575010L,43,54,132,306031,148448,269,58813,0,0,3,2,0,1,3,LOSS
144,3633575010W,59,37,125,512574,124827,173,78839,1,1,1,2,3,2,0,WIN
145,3633575010L,36,59,75,409393,161610,144,72619,0,1,1,3,2,1,1,LOSS
146,3633575010W,45,27,104,212397,69512,165,53692,1,0,1,3,1,1,1,WIN
147,3633575010L,27,45,70,184404,90152,154,47607,0,1,1,3,2,1,0,LOSS
148,3633575010W,40,28,83,161979,71508,93,45322,1,2,3,1,1,1,1,WIN
149,3633575010L,28,40,61,147109,66519,78,39556,0,1,0,4,3,0,0,LOSS
150,3633575010W,44,27,123,193147,85729,122,47887,1,1,2,1,2,1,1,WIN
151,3633575010L,27,44,52,164794,78217,109,42229,0,4,3,1,0,0,1,LOSS
152,3633575010W,52,39,120,274907,119862,109,62156,1,0,1,1,3,1,1,WIN
153,3633575010L,39,52,92,249574,115211,141,57500,0,3,2,2,2,1,0,LOSS
154,3633575010W,22,17,47,130304,42052,48,37900,1,1,1,1,2,0,2,WIN
155,3633575010L,17,22,28,107438,39274,64,32236,0,2,2,2,1,1,0,LOSS
156,3633575010W,49,48,139,339178,121953,101,66117,1,0,1,0,4,2,0,WIN
157,3633575010L,48,49,114,312633,130773,116,64130,0,3,2,1,2,1,0,LOSS
158,3633575010W,41,29,107,201894,81288,99,52691,0,2,2,1,1,1,1,WIN
159,3633575010L,29,42,64,180615,84794,146,46187,1,1,1,3,1,1,1,LOSS
160,3633575010W,25,19,81,158332,51019,98,42095,1,1,1,1,3,1,2,WIN
161,3633575010L,19,25,56,126499,70923,131,38190,0,1,3,1,1,2,2,LOSS
162,3633575010W,72,68,171,729475,225283,275,94510,0,1,1,2,2,2,1,WIN
163,3633575010L,67,72,137,640433,220403,161,92106,1,0,2,2,2,0,2,LOSS
164,3633575010W,49,43,126,425505,165016,207,76294,0,1,1,2,1,2,1,WIN
165,3633575010L,42,49,96,422138,150429,349,71873,1,2,1,3,1,2,0,LOSS
166,3633575010W,59,41,149,289437,139832,209,64208,1,1,4,1,0,0,3,WIN
167,3633575010L,41,59,95,306717,157892,143,59966,0,3,3,0,1,0,2,LOSS
168,3633575010W,43,35,115,224659,90000,114,58014,1,0,2,3,2,0,1,WIN
169,3633575010L,35,43,60,213741,105447,112,54759,0,4,2,2,0,1,1,LOSS
170,3633575010W,31,19,98,175969,66539,114,45900,1,1,1,2,1,2,2,WIN
171,3633575010L,18,32,40,138972,71464,68,39900,0,0,3,1,2,0,3,LOSS
172,3633575010W,60,43,147,347508,124520,194,68385,0,4,1,4,1,0,0,WIN
173,3633575010L,43,60,80,332991,182816,183,63294,0,1,4,0,1,0,3,LOSS
174,3633575010W,52,47,119,377784,136842,173,67858,0,2,3,2,1,0,1,WIN
175,3633575010L,47,53,128,313494,162089,103,64942,1,3,3,2,0,1,1,LOSS
176,3633575010W,64,66,129,374613,146623,165,72974,1,1,1,1,3,0,1,WIN
177,3633575010L,66,64,143,412573,162235,75,73004,0,2,1,3,2,0,1,LOSS
0,3633649477W,76,77,179,892733,213952,338,104505,1,1,1,3,1,1,1,WIN
1,3633649477L,76,77,189,680136,279976,373,101975,0,1,3,1,0,3,2,LOSS
2,3633649477W,53,48,100,225928,105927,129,55553,1,2,2,2,1,1,0,WIN
3,3633649477L,48,53,93,223510,111277,106,51030,0,1,3,3,0,0,2,LOSS
4,3633649477W,43,37,101,315826,104371,184,65400,1,2,3,3,0,1,0,WIN
5,3633649477L,37,43,99,342260,129487,166,62984,0,2,2,2,1,2,0,LOSS
6,3633649477W,59,45,92,299759,105783,120,64669,1,1,4,3,0,0,1,WIN
7,3633649477L,45,60,98,269857,115883,212,60613,0,1,1,2,2,2,1,LOSS
8,3633649477W,31,19,74,163881,50956,28,44861,1,1,1,2,3,0,1,WIN
9,3633649477L,19,31,39,137302,54953,112,40619,0,0,1,4,1,2,1,LOSS
10,3633649477W,47,40,120,275709,77762,47,58606,0,2,0,2,3,1,0,WIN
11,3633649477L,40,47,75,222484,128897,81,55056,1,2,3,1,1,0,2,LOSS
12,3633649477W,76,72,165,560094,234653,303,93162,1,0,2,4,0,2,2,WIN
13,3633649477L,72,77,131,662317,255749,170,90944,0,1,3,2,1,0,1,LOSS
14,3633649477W,69,59,143,377540,141927,129,78650,1,2,0,1,2,1,0,WIN
15,3633649477L,59,69,93,374113,179448,97,72591,0,1,1,3,1,0,1,LOSS
16,3633649477W,77,51,160,391956,150705,151,77624,1,1,2,2,1,2,0,WIN
17,3633649477L,51,77,90,398306,159682,134,72693,0,1,1,2,3,1,0,LOSS
18,3633649477W,52,39,153,303058,129211,120,65184,1,0,0,2,3,2,0,WIN
19,3633649477L,39,53,77,332810,155628,224,61334,0,0,4,2,0,1,3,LOSS
20,3633649477W,55,39,137,367600,133180,137,70549,1,1,1,5,1,1,0,WIN
21,3633649477L,39,55,90,381474,155238,151,66229,0,1,2,2,2,0,1,LOSS
22,3633649477W,51,46,113,388500,109097,109,72376,0,2,1,2,2,1,0,WIN
23,3633649477L,46,51,93,369484,158099,154,67548,1,0,2,2,2,2,1,LOSS
24,3633649477W,45,38,104,285626,96389,56,59677,1,2,3,2,1,1,0,WIN
25,3633649477L,38,45,81,254509,115867,125,57123,0,0,2,2,1,1,1,LOSS
26,3633649477W,44,54,104,347810,113438,372,61946,0,1,1,4,0,1,1,WIN
27,3633649477L,54,44,119,269198,115907,142,59697,1,2,2,1,2,0,2,LOSS
28,3633649477W,35,38,65,204659,79043,15,48768,1,3,2,1,2,0,1,WIN
29,3633649477L,38,35,84,187322,89550,75,46366,0,2,2,3,2,0,0,LOSS
30,3633649477W,43,34,86,300642,109642,208,63590,1,1,3,3,0,1,2,WIN
31,3633649477L,34,43,75,268709,118863,273,59078,0,1,1,2,2,0,2,LOSS
32,3633649477W,47,50,87,298889,143066,114,63482,0,2,2,3,1,0,1,WIN
33,3633649477L,50,47,120,295776,108865,112,63068,0,1,0,1,3,2,0,LOSS
34,3633649477W,64,67,151,603789,216380,228,93224,1,2,1,1,2,2,1,WIN
35,3633649477L,67,64,156,667306,192275,184,91014,0,1,1,4,1,2,0,LOSS
36,3633649477W,39,35,70,331730,122973,138,67364,0,1,0,3,3,0,1,WIN
37,3633649477L,35,39,77,310534,107649,132,63554,1,0,2,0,3,1,1,LOSS
38,3633649477W,56,48,111,426930,146833,212,76848,0,1,2,1,1,2,2,WIN
39,3633649477L,48,56,103,346959,160145,200,69820,1,0,1,3,1,1,1,LOSS
40,3633649477W,48,25,117,309307,82851,193,61028,0,0,0,4,2,1,1,WIN
41,3633649477L,25,48,44,254143,128984,176,55474,0,1,2,3,1,1,2,LOSS
42,3633649477W,45,44,100,334875,114222,137,63609,0,1,1,0,3,1,1,WIN
43,3633649477L,43,45,119,294818,140115,202,60020,1,0,2,2,1,1,1,LOSS
44,3633649477W,43,20,135,174024,71441,185,47756,1,1,1,2,1,1,2,WIN
45,3633649477L,20,43,36,180086,83288,80,41278,0,2,3,0,1,1,2,LOSS
46,3633649477W,64,61,140,621467,235134,318,91237,1,2,4,1,0,1,1,WIN
47,3633649477L,61,64,153,558108,192095,220,87210,0,3,0,2,3,1,0,LOSS
48,3633649477W,45,20,121,177715,54683,93,47896,1,2,1,3,1,2,0,WIN
49,3633649477L,20,45,49,146358,83272,76,42904,0,2,2,3,1,1,0,LOSS
50,3633649477W,57,48,153,366237,152816,219,67024,1,1,1,1,2,1,3,WIN
51,3633649477L,48,57,111,309808,171354,115,67360,0,3,2,1,0,2,1,LOSS
52,3633649477W,31,24,67,193096,65579,138,50503,1,0,1,3,2,1,1,WIN
53,3633649477L,24,31,48,182031,72563,66,46559,0,1,1,1,1,1,1,LOSS
54,3633649477W,56,48,114,428865,164409,99,73652,0,3,3,1,1,1,1,WIN
55,3633649477L,48,56,113,369463,172699,147,70175,1,0,2,1,3,0,2,LOSS
56,3633649477W,59,67,111,381099,190640,205,74015,0,0,2,3,1,2,2,WIN
57,3633649477L,67,59,159,437200,157271,357,74674,1,1,1,3,1,3,0,LOSS
58,3633649477W,66,52,180,599784,178420,313,85323,0,1,1,1,2,2,2,WIN
59,3633649477L,52,66,132,440088,223952,225,78360,1,1,3,2,0,1,1,LOSS
60,3633649477W,45,37,90,245291,83075,85,56846,1,0,2,4,1,0,1,WIN
61,3633649477L,37,45,74,245417,108584,72,53483,0,1,1,1,4,0,1,LOSS
62,3633649477W,28,16,66,98771,28765,92,33273,0,2,1,3,1,1,1,WIN
63,3633649477L,16,28,33,78047,41937,52,30245,0,1,2,2,0,2,2,LOSS
