NA1_4855098200
NA1_4855068060
NA1_4855035215
NA1_4854122856
NA1_4863412504
NA1_4860064003
NA1_4855937350
NA1_4864872985
NA1_4864179798
NA1_4864158658
NA1_4864149309
NA1_4864050410
NA1_4863759073
NA1_4863734056
NA1_4863700387
NA1_4863675659
NA1_4863655988
NA1_4863628656
NA1_4863607828
NA1_4863586138
NA1_4858175050
NA1_4858108142
NA1_4858088095
NA1_4858060951
NA1_4856912759
NA1_4855931028
NA1_4855257783
NA1_4853383936
NA1_4853372941
NA1_4853354353
NA1_4852365379
NA1_4852351741
NA1_4852346103
NA1_4793160712
NA1_4793140216
NA1_4793119037
NA1_4793087651
NA1_4793063301
NA1_4787953395
NA1_4787923070
NA1_4787898199
NA1_4787875628
NA1_4787006015
NA1_4786970716
NA1_4786946147
NA1_4786913724
NA1_4768079895
NA1_4768057057
NA1_4767095790
NA1_4767075917
NA1_4767051545
NA1_4765582813
NA1_4764915055
NA1_4760432378
NA1_4760392717
NA1_4760367653
NA1_4760350678
NA1_4756802272
NA1_4756292805
NA1_4754413647
NA1_4751127901
NA1_4751101526
NA1_4751080515
NA1_4750831330
NA1_4750155090
NA1_4750124224
NA1_4749767733
NA1_4749759408
NA1_4748316533
NA1_4745512414
NA1_4744622832
NA1_4744237718
NA1_4744219721
NA1_4744211897
NA1_4744194901
NA1_4743457802
NA1_4743433046
NA1_4743403687
NA1_4743274562
NA1_4743264216
NA1_4735740993
NA1_4735716237
NA1_4730201940
NA1_4730164295
NA1_4729270404
NA1_4729249149
NA1_4721979565
NA1_4721937202
NA1_4721910470
NA1_4714003872
NA1_4713981049
NA1_4713951111
NA1_4713927982
NA1_4680274074
NA1_4680243330
NA1_4679453562
NA1_4678607764
NA1_4664051756
NA1_4663979972
NA1_4835372801
NA1_4835363160
NA1_4834796511
NA1_4834774799
NA1_4834754879
NA1_4834306658
NA1_4825939343
NA1_4825920612
NA1_4825910225
NA1_4859705150
NA1_4859695304
NA1_4837890915
NA1_4836303474
NA1_4863919218
NA1_4850220746
NA1_4846133816
NA1_4841577349
NA1_4839517621
NA1_4839512350
NA1_4839509034
NA1_4839491516
NA1_4839310673
NA1_4838378291
NA1_4837334898
NA1_4837284693
NA1_4834747195
NA1_4834732973
NA1_4834386179
NA1_4834375542
NA1_4830743571
NA1_4830737220
NA1_4830579620
NA1_4830558059
NA1_4830498578
NA1_4830182393
NA1_4829696267
NA1_4829260713
NA1_4825673829
NA1_4825614241
NA1_4847985947
NA1_4847850454
NA1_4832134518
NA1_4832115054
NA1_4831885124
NA1_4831865527
NA1_4864113447
NA1_4864095224
NA1_4864077343
NA1_4860974935
NA1_4860952654
NA1_4860940943
NA1_4860913633
NA1_4860874660
NA1_4857955471
NA1_4857939492
NA1_4857923283
NA1_4856861827
NA1_4856592493
NA1_4856584032
NA1_4856571874
NA1_4856548621
NA1_4856539055
NA1_4856251877
NA1_4856208404
NA1_4856168650
NA1_4854185970
NA1_4854152651
NA1_4854126475
NA1_4851435811
NA1_4851364301
NA1_4845778814
NA1_4835588286
NA1_4831778615
NA1_4815981102
NA1_4765755074
NA1_4849763575
NA1_4849748293
NA1_4849729316
NA1_4849707733
NA1_4849689411
NA1_4849672282
NA1_4849660871
NA1_4849634988
NA1_4847956162
NA1_4847935790
NA1_4847914620
NA1_4847885528
NA1_4847868611
NA1_4839318141
NA1_4839276815
NA1_4785411456
NA1_4785395311
NA1_4785383050
NA1_4785366094
NA1_4785351919
NA1_4785325218
NA1_4784236831
NA1_4784168677
NA1_4784152379
NA1_4830526367
NA1_4830507789
NA1_4830331064
NA1_4828701997
NA1_4828678278
NA1_4827832706
NA1_4827804449
NA1_4827404853
NA1_4826640559
NA1_4826624161
NA1_4826593554
NA1_4825706865
NA1_4825685167
NA1_4825641253
NA1_4824858396
NA1_4824827690
NA1_4824815352
NA1_4824692455
NA1_4824659051
NA1_4824556953
NA1_4824534192
NA1_4821006612
NA1_4820990740
NA1_4820910340
NA1_4820886479
NA1_4820651998
NA1_4820604762
NA1_4818994673
