NA1_4864312271
NA1_4862481082
NA1_4861823993
NA1_4861125176
NA1_4861109018
NA1_4860301369
NA1_4859816417
NA1_4859804407
NA1_4858997302
NA1_4858954859
NA1_4858906661
NA1_4858899842
NA1_4858233834
NA1_4857804918
NA1_4856990822
NA1_4856948677
NA1_4856701882
NA1_4856669940
NA1_4856661268
NA1_4855632585
NA1_4855607363
NA1_4854762616
NA1_4853209663
NA1_4852325026
NA1_4852305449
NA1_4852293048
NA1_4852286743
NA1_4852234849
NA1_4851296081
NA1_4851276677
NA1_4851269739
NA1_4851180414
NA1_4851175136
NA1_4851167084
NA1_4851115676
NA1_4851101838
NA1_4850363523
NA1_4850357380
NA1_4849928729
NA1_4849031889
NA1_4848110479
NA1_4848075346
NA1_4848050985
NA1_4847740110
NA1_4846702565
NA1_4846643190
NA1_4846202245
NA1_4845540562
NA1_4845539820
NA1_4845212470
NA1_4845099738
NA1_4844741171
NA1_4844716648
NA1_4844703387
NA1_4844168644
NA1_4844157936
NA1_4843229703
NA1_4843208531
NA1_4843168636
NA1_4842647629
NA1_4842638077
NA1_4842613599
NA1_4842600081
NA1_4842577980
NA1_4842553239
NA1_4842514691
NA1_4841589593
NA1_4841472325
NA1_4841439441
NA1_4841398129
NA1_4841364390
NA1_4841238697
NA1_4841174560
NA1_4840519108
NA1_4840501604
NA1_4840484704
NA1_4840462259
NA1_4840275026
NA1_4840239085
NA1_4840219108
NA1_4840193744
NA1_4840164521
NA1_4840142053
NA1_4840127082
NA1_4840103441
NA1_4840082356
NA1_4840059967
NA1_4840025720
NA1_4839977830
NA1_4839960459
NA1_4839945524
NA1_4839912703
NA1_4839893719
NA1_4839349292
NA1_4839233123
NA1_4839190876
NA1_4839161925
NA1_4839065706
NA1_4841573323
NA1_4817399139
NA1_4817373128
NA1_4817357166
NA1_4812615886
NA1_4812607746
NA1_4812569563
NA1_4802511260
NA1_4791577860
NA1_4791565125
NA1_4791535318
NA1_4789082247
NA1_4788540368
NA1_4788531907
NA1_4788512968
NA1_4788490710
NA1_4787541037
NA1_4787520674
NA1_4787513971
NA1_4787500270
NA1_4785778137
NA1_4783751688
NA1_4773446115
NA1_4771629743
NA1_4769528064
NA1_4769513917
NA1_4769495048
NA1_4769469568
NA1_4765103940
NA1_4765087347
