,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
72,NA1_4159454304,68,62,102,183479,180378,1270,85420,3,2,2,2,0,0,1
73,NA1_4159454304,62,68,130,161659,196581,869,83728,0,0,2,3,2,1,0
74,NA1_4158828721,45,36,119,96455,75914,1502,57932,3,0,2,3,2,0,1
75,NA1_4158828721,35,45,72,71042,106287,1525,54678,4,4,0,1,0,1,0
76,NA1_4158797186,55,45,157,159709,143476,1760,75630,1,1,2,2,1,1,1
77,NA1_4158797186,45,55,113,135628,170862,646,70487,2,3,3,1,1,0,0
78,NA1_4158791308,62,45,178,175844,225134,854,79754,2,2,3,0,1,2,1
79,NA1_4158791308,45,62,123,206566,186100,559,73559,0,2,2,1,1,3,0
80,NA1_4158726793,38,40,106,129712,100498,1373,61856,2,1,1,2,1,1,1
81,NA1_4158726793,40,38,100,93680,141068,775,60911,0,0,2,2,3,1,0
82,NA1_4157286757,47,39,107,101091,106217,1356,63370,1,1,2,2,0,1,1
83,NA1_4157286757,39,47,89,96660,107415,1137,60147,2,2,3,0,2,0,0
84,NA1_4157119683,55,56,137,173866,149990,1054,81553,2,3,1,1,1,1,1
85,NA1_4157119683,56,55,130,134894,180336,1220,79144,2,2,2,1,1,1,0
86,NA1_4156240599,46,39,114,108342,110319,1509,62951,2,1,3,1,0,1,1
87,NA1_4156240599,39,46,90,99204,114818,853,58043,2,0,4,0,1,1,0
88,NA1_4156177048,55,35,138,109815,109693,1089,63460,1,3,2,1,1,2,1
89,NA1_4156177048,35,55,63,98827,117110,1538,58393,1,3,2,2,0,1,0
90,NA1_4155794203,60,34,157,148582,93399,1743,66291,2,1,2,1,2,0,1
91,NA1_4155794203,33,60,81,83115,158474,1254,57527,1,2,2,1,1,1,0
92,NA1_4155800090,40,33,75,72867,80897,1095,50905,2,2,1,2,0,1,1
93,NA1_4155800090,32,40,72,69560,78346,1550,46944,2,2,2,2,0,1,0
94,NA1_4155446407,57,50,128,135889,125871,947,73419,1,2,1,2,0,1,1
95,NA1_4155446407,50,57,97,120658,147258,1016,70393,2,2,3,1,0,1,0
96,NA1_4155454207,37,36,97,91953,122633,1148,65417,1,3,3,0,1,1,1
97,NA1_4155454207,36,37,73,108766,98478,936,62184,2,2,1,1,1,0,0
98,NA1_4155389500,55,50,105,120541,128614,1520,74756,0,3,1,2,2,0,1
99,NA1_4155389500,50,55,118,115026,123707,1733,70789,1,0,1,3,2,0,0
100,NA1_4155366153,41,27,130,96396,78246,1331,62128,0,0,4,1,2,1,1
101,NA1_4155366153,27,42,67,69802,103958,936,57030,1,1,2,1,2,2,0
102,NA1_4155363286,48,25,149,115304,100539,963,58709,2,2,1,0,3,1,1
103,NA1_4155363286,25,48,82,92759,124537,1522,54027,1,2,2,0,2,3,0
104,NA1_4155338373,61,32,181,152993,72774,1333,65283,1,1,5,1,2,0,1
105,NA1_4155338373,32,61,60,69892,163944,973,57184,0,3,3,1,0,3,0
106,NA1_4155236546,61,62,103,142605,160374,802,76650,3,3,0,2,0,1,1
107,NA1_4155236546,62,61,143,146268,146306,1728,74229,0,2,2,2,1,0,0
108,NA1_4152419649,46,34,127,129417,104793,1174,65825,1,2,2,2,1,1,1
109,NA1_4152419649,33,46,77,92700,136906,1216,61416,2,2,2,1,1,1,0
110,NA1_4152417179,56,36,144,130816,90940,1024,57675,2,0,3,2,1,0,1
