Rank,PLAYER,POS,TEAM,TOTAL
134,Marcus Smart,PG+SG,MEM,-0.27
135,Robert Williams III,C,POR,-0.29
136,Obi Toppin,PF,IND,-0.32
137,Bilal Coulibaly,SF,WAS,-0.33
138,Buddy Hield,SG+SF,IND,-0.35
139,Delon Wright,PG+SG,WAS,-0.35
140,Herbert Jones,SF+PF,NO,-0.42
141,Tari Eason,SF+PF,HOU,-0.43
142,Matisse Thybulle,SG+SF,POR,-0.58
143,Caleb Martin,SG+SF,MIA,-0.58
144,Josh Richardson,SG,MIA,-0.62
145,Kris Dunn,PG,UTA,-0.65
146,Gordon Hayward,SF,CHA,-0.71
147,Patrick Williams,PF,CHI,-0.72
148,Kentavious Caldwell-Pope,SG+SF,DEN,-0.72
149,Caris LeVert,SG+SF,CLE,-0.74
150,Zach Collins,PF+C,SA,-0.75
151,Kelly Olynyk,PF+C,UTA,-0.78
152,Cam Thomas,SG+SF,BKN,-0.78
153,D'Angelo Russell,PG+SG,LAL,-0.79
154,Brandon Miller,SF,CHA,-0.8
155,Kevon Looney,PF+C,GS,-0.83
156,Jonathan Isaac,SF+PF,ORL,-0.84
157,Jordan Clarkson,PG+SG,UTA,-0.88
158,Luguentz Dort,SG+SF,OKC,-0.88
159,Jordan Poole,PG+SG,WAS,-0.89
160,Mitchell Robinson,C,NY,-0.96
161,Klay Thompson,SG+SF,GS,-1.04
162,Malik Monk,SG+SF,SAC,-1.12
163,Jeremy Sochan,PG+PF,SA,-1.2
164,Vince Williams Jr.,SG,MEM,-1.23
165,Kyle Lowry,PG,MIA,-1.23
166,Dorian Finney-Smith,SF+PF+C,BKN,-1.28
167,Malik Beasley,SG+SF,MIL,-1.29
168,Bobby Portis,PF+C,MIL,-1.31
169,Brandon Clarke,PF+C,MEM,-1.41
170,Nicolas Batum,SF+PF,PHI,-1.41
171,Keyonte George,PG+SG,UTA,-1.42
172,Collin Sexton,PG+SG,UTA,-1.44
173,Aaron Gordon,PF,DEN,-1.52
174,Wendell Carter Jr.,C,ORL,-1.55
175,Jae Crowder,SF+PF,MIL,-1.58
176,Kelly Oubre Jr.,SF,PHI,-1.58
177,Dillon Brooks,SG+SF,HOU,-1.63
178,Aaron Nesmith,SF+PF,IND,-1.67
179,RJ Barrett,SG+SF,TOR,-1.71
180,Harrison Barnes,SF+PF,SAC,-1.72
181,Kyle Anderson,SF+PF,MIN,-1.77
182,Corey Kispert,SG+SF,WAS,-1.78
183,Luke Kennard,PG+SG,MEM,-1.87
184,Gary Payton II,PG+SG+SF,GS,-1.9
185,Isaiah Stewart,PF+C,DET,-1.91
186,Drew Eubanks,C,PHO,-1.92
187,Kevin Huerter,SG+SF,SAC,-1.97
188,Tim Hardaway Jr.,SG+SF,DAL,-2.02
189,Larry Nance Jr.,PF+C,NO,-2.03
190,Jonathan Kuminga,PF,GS,-2.07
191,Moritz Wagner,C,ORL,-2.12
192,Royce O'Neale,SG+SF,BKN,-2.18
193,Donte DiVincenzo,SG+SF,NY,-2.18
194,Dru Smith,PG+SG,MIA,-2.2
195,Duop Reath,C,POR,-2.21
196,Toumani Camara,PF,POR,-2.27
197,Maxi Kleber,PF+C,DAL,-2.34
198,Lonnie Walker IV,SG+SF,BKN,-2.37
199,Isaiah Jackson,PF+C,IND,-2.4
200,Christian Braun,SG,DEN,-2.41
